,ecramid,visitdate,wetlandsub,indexscore,bufferlan,hydrology,physical,biotic_str,Elevation,FIRE_NAME,ALARM_DATE,CONT_DATE,FireSize,FireDist,DaysSinceFire,PrePost
1,1871,8/11/2011,non-confined,73,92,75,63,61,591.3055483,WILLIAMS,9/22/2002,10/10/2002,38118.95313,0,3227,pre
2,1874,7/27/2011,confined,89,100,100,88,67,869.1012778,CURVE,9/1/2002,9/14/2002,20870.75,0,3238,pre
3,3187,6/3/2013,non-confined,68,83.87999725,58.33000183,75,55.56000137,541.0764036,SANTIAGO,10/21/2007,11/8/2007,28429.98047,296.5447702,2034,pre
4,3647,5/20/2014,confined,92,90.29000092,91.66999817,87.5,97.22000122,573.9247519,SANTIAGO,10/21/2007,11/8/2007,28429.98047,458.2736772,2385,pre
5,3663,6/3/2014,non-confined,81,90.29000092,83.33000183,62.5,88.88999939,405.8723113,STATION,8/26/2009,9/22/2009,160833.1094,183.7524882,1715,pre
6,4288,6/4/2015,confined,81,100,58.33000183,75,88.88999939,120.960331,RICE,10/7/2007,11/5/2007,9471.853516,1767.172934,2768,pre
7,4350,6/16/2015,confined,80,86.41999817,83.33000183,75,75,542.3408709,SILVERADO,9/12/2014,9/21/2014,959.0129395,12.02858719,268,post
8,4395,5/20/2015,non-confined,90,100,91.66999817,87.5,80.55999756,2473.775056,BARTON,11/16/2005,7/7/2005,69.78515625,4133.599481,3604,pre
9,5355,4/28/2016,confined,82,90.29000092,83.33000183,87.5,66.66999817,573.9237617,SILVERADO,9/12/2014,9/21/2014,959.0129395,39.59169353,585,post
10,5356,5/17/2016,non-confined,83,86.41999817,75,75,94.44000244,77.5758591,ORTEGA,11/16/2009,11/17/2009,141.9776764,10585.95027,2373,pre
11,6056,6/22/2017,non-confined,83,86.41999817,75,75,94.44000244,77.55905442,TRABUCO,9/6/2016,9/7/2016,97.34912109,106.2983002,288,post
12,6165,7/21/2017,non-confined,73,82.91999817,91.66999817,62.5,55.56000137,486.1666489,TECOLOTE,8/17/2014,9/14/2014,268.8588562,1569.541057,1041,pre
13,6166,7/21/2017,non-confined,80,93.29000092,91.66999817,62.5,72.22000122,566.7340268,FISH,6/20/2016,7/3/2016,4245.793945,3794.979578,383,pre
14,6384,6/5/2018,confined,85,100,91.66999817,75,72.22000122,2475.353621,LAKE,6/17/2015,12/31/2015,31284.44141,0,887,post
15,6910,6/4/2019,non-confined,82,93.29000092,75,87.5,72.22000122,601.2777354,CABIN,8/14/2015,9/2/2015,1461.84436,0,1371,post
16,7034,7/10/2019,confined,83,100,83.33000183,75,72.22000122,554.0230636,TECOLOTE,8/17/2014,9/14/2014,268.8588562,3672.188544,1760,pre
17,7501,7/24/2019,confined,85,93.29000092,91.66999817,87.5,69.44000244,860.4849303,CABIN,8/14/2015,9/2/2015,1461.84436,144.5798914,1421,post
18,7708,7/28/2020,non-confined,76,90.29000092,83.33000183,50,80.55999756,405.9391738,CREEK,12/5/2017,12/5/2017,15619.14648,320.1340886,966,post
19,7798,8/12/2020,confined,81,93.29000092,83.33000183,75,72.22000122,620.8855194,FISH,6/20/2016,7/3/2016,4245.793945,2865.646449,1501,pre
20,8192,6/29/2021,confined,83,100,83.33000183,75,72.22000122,554.0230636,BOBCAT,9/6/2020,10/19/2020,115997.9766,0,253,post
21,8689,6/8/2022,confined,81,92.04000092,66.66999817,75,88.88999939,120.960331,ROCK 5,7/28/2018,8/2/2018,206.2568054,237.189793,1406,post
22,8960,7/7/2022,non-confined,91,96.54000092,83.33000183,100,86.11000061,628.0062533,BOBCAT,9/6/2020,10/19/2020,115997.9766,0,626,post
23,8961,7/7/2022,non-confined,89,100,83.33000183,100,72.22000122,565.4387691,BOBCAT,9/6/2020,10/19/2020,115997.9766,0,626,post
24,8964,7/27/2022,non-confined,77,90.29000092,66.66999817,75,77.77999878,487.9584883,BOBCAT,9/6/2020,10/19/2020,115997.9766,34.71354785,646,post
