"","CRAM_ID","Site_ID"
"1","8770","LA1"
"2","1160","LA1"
"3","3337","LA1"
"4","3774","LA1"
"5","3754","LA1"
"6","1175","LA1"
"7","835","LA3"
"8","970","LA3"
"9","4372","LA3"
"10","8387","LA3"
"11","7800","LA3"
"12","1600","LA3"
"13","2353","LA3"
"14","4375","LA3"
"15","3066","LA3"
"16","762","LA4"
"17","998","LA4"
"18","3667","LA4"
"19","8392","LA4"
"20","8965","LA4"
"21","1595","LA4"
"22","3018","LA4"
"23","5434","LA4"
"24","1716","LA7"
"25","7811","LA9"
"26","6773","LA10"
"27","1224","LA11"
"28","1597","LA11"
"29","1866","LA11"
"30","3019","LA11"
"31","4369","LA11"
"32","6910","LA12"
"33","7500","LA12"
"34","1871","LA12"
"35","6772","LA13"
"36","3672","LA14"
"37","6172","LA14"
"38","995","LA14"
"39","6171","LA15"
"40","6713","LA15"
"41","7810","LA15"
"42","8381","LA15"
"43","8951","LA15"
"44","1883","LA15"
"45","7110","LA15"
"46","5498","LA16"
"47","6700","LA16"
"48","6701","LA16"
"49","6694","LA16"
"50","7707","LA16"
"51","3661","LA16"
"52","7706","LA16"
"53","4457","LA16"
"54","8939","LA16"
"55","1215","LA16"
"56","1581","LA16"
"57","1886","LA16"
"58","2368","LA16"
"59","3681","LA16"
"60","4465","LA16"
"61","5446","LA16"
"62","8944","LA16"
"63","8678","LA16"
"64","1567","LA16"
"65","1564","LA16"
"66","8370","LA16"
"67","1897","LA16"
"68","1898","LA16"
"69","2375","LA16"
"70","3011","LA16"
"71","1221","LA17"
"72","1583","LA17"
"73","2366","LA17"
"74","4466","LA17"
"75","5497","LA18"
"76","1560","LA19"
"77","3676","LA19"
"78","5432","LA19"
"79","6170","LA19"
"80","8391","LA19"
"81","8963","LA19"
"82","1559","LA19"
"83","1873","LA19"
"84","2348","LA19"
"85","3075","LA19"
"86","3673","LA19"
"87","1872","LA19"
"88","2355","LA19"
"89","3020","LA19"
"90","1160","LA20"
"91","3774","LA20"
"92","8770","LA20"
"93","7931","SB1"
"94","7932","SB2"
"95","7929","SB3"
"96","7930","SB4"
"97","7933","SB8"
"98","7928","SB9"
"99","7927","SB10"
"100","7926","SB11"
"101","3348","SB12"
"102","4141","SB12"
"103","4145","SB12"
"104","5865","SB12"
"105","8668","SB12"
"106","1373","SB12"
"107","6779","SB13"
"108","3325","SB13"
"109","6386","SB13"
"110","5490","SB13"
"111","1715","SB13"
"112","5413","SB15"
"113","6780","SB15"
"114","7186","SB15"
"115","8489","SB15"
"116","2838","SB15"
"117","6783","SB16"
"118","6785","SB16"
"119","6786","SB16"
"120","7182","SB16"
"121","4142","SB16"
"122","7181","SB16"
"123","7177","SB16"
"124","1750","SB17"
"125","7188","SB17"
"126","6787","SB18"
"127","7650","SA1"
"128","6031","SA2"
"129","5361","SA3"
"130","7649","SA4"
"131","7089","SA4"
"132","6635","SA4"
"133","5355","SA4"
"134","5986","SA4"
"135","3647","SA4"
"136","3650","SA5"
"137","6687","SA5"
"138","5356","SA5"
"139","6056","SA5"
"140","4366","SA5"
"141","7137","SA5"
"142","7674","SA5"
"143","8479","SA6"
"144","2831","SA6"
"145","2728","SA6"
"146","1713","SA7"
"147","4272","SA7"
"148","7045","SA7"
