"","Df","SumOfSqs","R2","F","Pr(>F)"
"last_fire_distance",1,0.103839641930041,0.0243037123748668,0.750602949598251,0.433
"time_since_last_fire",1,0.0463433337019512,0.0108466769708578,0.334991938765894,0.724
"elevation",1,0.0307542232421401,0.00719803903496687,0.222306339362243,0.837
"last_fire_distance:time_since_last_fire",1,0.116711387903736,0.0273163499966123,0.843646129589606,0.413
"last_fire_distance:elevation",1,0.0760996776713885,0.0178111619374762,0.550085126084158,0.571
"time_since_last_fire:elevation",1,0.245281788012806,0.057408306845593,1.77301491167683,0.181
"last_fire_distance:time_since_last_fire:elevation",1,0.610037459558395,0.142779526965149,4.40964460199555,0.021
"Residual",22,3.04351604757699,0.712336225874478,NA,NA
"Total",29,4.27258355959745,1,NA,NA
